,Soil_color,Nitrogen,Phosphorus,Potassium,pH,Rainfall,Temperature,Crop,Fertilizer
0,0,75,50,100,6.5,1000,20,11,17
1,0,80,50,100,6.5,1000,20,11,17
2,0,85,50,100,6.5,1000,20,11,17
3,0,90,50,100,6.5,1000,20,11,17
4,0,95,50,100,6.5,1000,20,11,17
5,0,100,50,100,6.5,1000,20,11,17
6,0,75,55,105,7.0,1100,25,11,17
7,0,80,55,105,7.0,1100,25,11,17
8,0,85,55,105,7.0,1100,25,11,17
9,0,90,55,105,7.0,1100,25,11,17
10,0,95,55,105,7.0,1100,25,11,17
11,0,100,55,105,7.0,1100,25,11,17
12,0,75,60,110,7.5,1200,30,11,17
13,0,80,60,110,7.5,1200,30,11,17
14,0,85,60,110,7.5,1200,30,11,17
15,0,90,60,110,7.5,1200,30,11,17
16,0,95,60,110,7.5,1200,30,11,17
17,0,100,60,110,7.5,1200,30,11,17
18,0,75,50,115,6.5,1300,35,11,17
19,0,80,50,115,6.5,1300,35,11,17
20,0,85,50,115,6.5,1300,35,11,17
21,0,90,50,115,6.5,1300,35,11,17
22,0,95,50,115,6.5,1300,35,11,17
23,0,100,50,115,6.5,1300,35,11,17
24,0,75,55,100,7.0,1400,20,11,10
25,0,80,55,100,7.0,1400,20,11,10
26,0,85,55,100,7.0,1400,20,11,10
27,0,90,55,100,7.0,1400,20,11,10
28,0,95,55,100,7.0,1400,20,11,10
29,0,100,55,100,7.0,1400,20,11,10
30,0,75,60,105,7.5,1500,25,11,10
31,0,80,60,105,7.5,1500,25,11,10
32,0,85,60,105,7.5,1500,25,11,10
33,0,90,60,105,7.5,1500,25,11,10
34,0,95,60,105,7.5,1500,25,11,10
35,0,100,60,105,7.5,1500,25,11,10
36,0,75,50,110,6.5,1000,30,11,10
37,0,80,50,110,6.5,1000,30,11,10
38,0,85,50,110,6.5,1000,30,11,10
39,0,90,50,110,6.5,1000,30,11,10
40,0,95,50,110,6.5,1000,30,11,10
41,0,100,50,110,6.5,1000,30,11,10
42,0,75,55,115,7.0,1100,35,11,10
43,0,80,55,115,7.0,1100,35,11,10
44,0,85,55,115,7.0,1100,35,11,10
45,0,90,55,115,7.0,1100,35,11,10
46,0,95,55,115,7.0,1100,35,11,10
47,0,100,55,115,7.0,1100,35,11,10
48,0,75,60,100,7.5,1200,20,11,13
49,0,80,60,100,7.5,1200,20,11,13
50,0,85,60,100,7.5,1200,20,11,13
51,0,90,60,100,7.5,1200,20,11,13
52,0,95,60,100,7.5,1200,20,11,13
53,0,100,60,100,7.5,1200,20,11,13
54,0,75,50,105,6.5,1300,25,11,13
55,0,80,50,105,6.5,1300,25,11,13
56,0,85,50,105,6.5,1300,25,11,13
57,0,90,50,105,6.5,1300,25,11,13
58,0,95,50,105,6.5,1300,25,11,13
59,0,100,50,105,6.5,1300,25,11,13
60,0,75,55,110,7.0,1400,30,11,13
61,0,80,55,110,7.0,1400,30,11,13
62,0,85,55,110,7.0,1400,30,11,13
63,0,90,55,110,7.0,1400,30,11,13
64,0,95,55,110,7.0,1400,30,11,13
65,0,100,55,110,7.0,1400,30,11,13
66,0,75,60,115,7.5,1500,35,11,13
67,0,80,60,115,7.5,1500,35,11,13
68,0,85,60,115,7.5,1500,35,11,13
69,0,90,60,115,7.5,1500,35,11,13
70,0,95,60,115,7.5,1500,35,11,13
71,0,100,60,115,7.5,1500,35,11,13
72,0,20,25,25,6.5,600,25,5,1
73,0,25,25,25,6.5,600,25,5,1
74,0,30,25,25,6.5,600,25,5,1
75,0,35,25,25,6.5,600,25,5,1
76,0,40,25,25,6.5,600,25,5,1
77,0,20,30,30,7.0,700,30,5,1
78,0,25,30,30,7.0,700,30,5,1
79,0,30,30,30,7.0,700,30,5,1
80,0,35,30,30,7.0,700,30,5,1
81,0,40,30,30,7.0,700,30,5,1
82,0,20,35,35,7.5,800,25,5,1
83,0,25,35,35,7.5,800,25,5,1
84,0,30,35,35,7.5,800,25,5,1
85,0,35,35,35,7.5,800,25,5,1
86,0,40,35,35,7.5,800,25,5,1
87,0,20,25,40,6.5,600,30,5,1
88,0,25,25,40,6.5,600,30,5,1
89,0,30,25,40,6.5,600,30,5,1
90,0,35,25,40,6.5,600,30,5,1
91,0,40,25,40,6.5,600,30,5,1
92,0,20,30,25,7.0,700,25,5,17
93,0,25,30,25,7.0,700,25,5,17
94,0,30,30,25,7.0,700,25,5,17
95,0,35,30,25,7.0,700,25,5,17
96,0,40,30,25,7.0,700,25,5,17
97,0,20,35,30,7.5,800,30,5,17
98,0,25,35,30,7.5,800,30,5,17
99,0,30,35,30,7.5,800,30,5,17
100,0,35,35,30,7.5,800,30,5,17
101,0,40,35,30,7.5,800,30,5,17
102,0,20,25,35,6.5,600,25,5,17
103,0,25,25,35,6.5,600,25,5,17
104,0,30,25,35,6.5,600,25,5,17
105,0,35,25,35,6.5,600,25,5,17
106,0,40,25,35,6.5,600,25,5,17
107,0,20,30,40,7.0,700,30,5,17
108,0,25,30,40,7.0,700,30,5,17
109,0,30,30,40,7.0,700,30,5,17
110,0,35,30,40,7.0,700,30,5,17
111,0,40,30,40,7.0,700,30,5,17
112,0,20,35,25,7.5,800,25,5,15
113,0,25,35,25,7.5,800,25,5,15
114,0,30,35,25,7.5,800,25,5,15
115,0,35,35,25,7.5,800,25,5,15
116,0,40,35,25,7.5,800,25,5,15
117,0,20,25,30,6.5,600,30,5,15
118,0,25,25,30,6.5,600,30,5,15
119,0,30,25,30,6.5,600,30,5,15
120,0,35,25,30,6.5,600,30,5,15
121,0,40,25,30,6.5,600,30,5,15
122,0,20,30,35,7.0,700,25,5,15
123,0,25,30,35,7.0,700,25,5,15
124,0,30,30,35,7.0,700,25,5,15
125,0,35,30,35,7.0,700,25,5,15
126,0,40,30,35,7.0,700,25,5,15
127,0,20,35,40,7.5,800,30,5,15
128,0,25,35,40,7.5,800,30,5,15
129,0,30,35,40,7.5,800,30,5,15
130,0,35,35,40,7.5,800,30,5,15
131,0,40,35,40,7.5,800,30,5,15
132,0,40,20,20,6.0,600,25,5,1
133,0,45,20,20,6.0,600,25,5,1
134,0,50,20,20,6.0,600,25,5,1
135,0,40,25,25,6.5,700,30,5,1
136,0,45,25,25,6.5,700,30,5,1
137,0,50,25,25,6.5,700,30,5,1
138,0,40,20,25,7.0,800,25,5,1
139,0,45,20,25,7.0,800,25,5,1
140,0,50,20,25,7.0,800,25,5,1
141,0,40,25,20,7.5,600,30,5,1
142,0,45,25,20,7.5,600,30,5,1
143,0,50,25,20,7.5,600,30,5,1
144,5,100,40,50,6.0,800,25,0,10
145,5,105,40,50,6.0,800,25,0,10
146,5,110,40,50,6.0,800,25,0,10
147,5,115,40,50,6.0,800,25,0,10
148,5,120,40,50,6.0,800,25,0,10
149,5,125,40,50,6.0,800,25,0,10
150,5,130,40,50,6.0,800,25,0,10
151,5,135,40,50,6.0,800,25,0,10
152,5,140,40,50,6.0,800,25,0,10
153,5,145,40,50,6.0,800,25,0,10
154,5,150,40,50,6.0,800,25,0,10
155,5,100,45,55,6.5,900,30,0,10
156,5,105,45,55,6.5,900,30,0,10
157,5,110,45,55,6.5,900,30,0,10
158,5,115,45,55,6.5,900,30,0,10
159,5,120,45,55,6.5,900,30,0,10
160,5,125,45,55,6.5,900,30,0,10
161,5,130,45,55,6.5,900,30,0,10
162,5,135,45,55,6.5,900,30,0,10
163,5,140,45,55,6.5,900,30,0,10
164,5,145,45,55,6.5,900,30,0,10
165,5,150,45,55,6.5,900,30,0,10
166,5,100,50,60,7.0,1000,35,0,10
167,5,105,50,60,7.0,1000,35,0,10
168,5,110,50,60,7.0,1000,35,0,10
169,5,115,50,60,7.0,1000,35,0,10
170,5,120,50,60,7.0,1000,35,0,10
171,5,125,50,60,7.0,1000,35,0,10
172,5,130,50,60,7.0,1000,35,0,10
173,5,135,50,60,7.0,1000,35,0,10
174,5,140,50,60,7.0,1000,35,0,10
175,5,145,50,60,7.0,1000,35,0,10
176,5,150,50,60,7.0,1000,35,0,10
177,5,100,55,65,7.5,800,25,0,10
178,5,105,55,65,7.5,800,25,0,10
179,5,110,55,65,7.5,800,25,0,10
180,5,115,55,65,7.5,800,25,0,10
181,5,120,55,65,7.5,800,25,0,10
182,5,125,55,65,7.5,800,25,0,10
183,5,130,55,65,7.5,800,25,0,10
184,5,135,55,65,7.5,800,25,0,10
185,5,140,55,65,7.5,800,25,0,10
186,5,145,55,65,7.5,800,25,0,10
187,5,150,55,65,7.5,800,25,0,10
188,5,100,60,70,6.0,900,30,0,10
189,5,105,60,70,6.0,900,30,0,10
190,5,110,60,70,6.0,900,30,0,10
191,5,115,60,70,6.0,900,30,0,10
192,5,120,60,70,6.0,900,30,0,10
193,5,125,60,70,6.0,900,30,0,10
194,5,130,60,70,6.0,900,30,0,10
195,5,135,60,70,6.0,900,30,0,10
196,5,140,60,70,6.0,900,30,0,10
197,5,145,60,70,6.0,900,30,0,10
198,5,150,60,70,6.0,900,30,0,10
199,5,100,40,75,6.5,1000,35,0,10
200,5,105,40,75,6.5,1000,35,0,10
201,5,110,40,75,6.5,1000,35,0,10
202,5,115,40,75,6.5,1000,35,0,10
203,5,120,40,75,6.5,1000,35,0,10
204,5,125,40,75,6.5,1000,35,0,10
205,5,130,40,75,6.5,1000,35,0,10
206,5,135,40,75,6.5,1000,35,0,10
207,5,140,40,75,6.5,1000,35,0,10
208,5,145,40,75,6.5,1000,35,0,10
209,5,150,40,75,6.5,1000,35,0,10
210,5,100,45,50,6.0,800,25,0,14
211,5,105,45,50,6.0,800,25,0,14
212,5,110,45,50,6.0,800,25,0,14
213,5,115,45,50,6.0,800,25,0,14
